C0 (107 genes)	C1 (85 genes)	C2 (46 genes)	C3 (93 genes)
Genes	Genes	Genes	Genes
MED134_00030	MED134_00190	MED134_00010	MED134_00710
MED134_00055	MED134_00195	MED134_00385	MED134_00810
MED134_00115	MED134_00210	MED134_00390	MED134_01015
MED134_00125	MED134_00545	MED134_00395	MED134_01290
MED134_00130	MED134_00570	MED134_00575	MED134_01605
MED134_00170	MED134_01665	MED134_01810	MED134_01620
MED134_00825	MED134_01780	MED134_02000	MED134_01640
MED134_01175	MED134_02080	MED134_02835	MED134_01700
MED134_01845	MED134_02375	MED134_02840	MED134_02060
MED134_01850	MED134_02615	MED134_02845	MED134_02095
MED134_01920	MED134_02630	MED134_02860	MED134_02430
MED134_01935	MED134_02735	MED134_03374	MED134_02465
MED134_01940	MED134_02770	MED134_04209	MED134_02470
MED134_02030	MED134_02855	MED134_04309	MED134_02590
MED134_02045	MED134_03000	MED134_04314	MED134_02720
MED134_02180	MED134_03184	MED134_04489	MED134_02780
MED134_02215	MED134_03224	MED134_04794	MED134_02865
MED134_02330	MED134_03354	MED134_06714	MED134_03075
MED134_02350	MED134_03394	MED134_06739	MED134_03299
MED134_03030	MED134_03444	MED134_07319	MED134_03339
MED134_03754	MED134_03449	MED134_09051	MED134_03599
MED134_04299	MED134_03579	MED134_09671	MED134_03844
MED134_04659	MED134_03804	MED134_09686	MED134_03859
MED134_04674	MED134_03829	MED134_09706	MED134_04219
MED134_04964	MED134_04044	MED134_09711	MED134_04384
MED134_05059	MED134_04344	MED134_09716	MED134_04389
MED134_05089	MED134_04624	MED134_09721	MED134_04584
MED134_05129	MED134_05209	MED134_10116	MED134_04689
MED134_05299	MED134_05454	MED134_10356	MED134_05024
MED134_05319	MED134_05669	MED134_10361	MED134_05039
MED134_05599	MED134_05819	MED134_10770	MED134_05284
MED134_05869	MED134_06174	MED134_10810	MED134_05384
MED134_06014	MED134_06189	MED134_11911	MED134_05469
MED134_06019	MED134_06509	MED134_11916	MED134_05524
MED134_06024	MED134_06859	MED134_11921	MED134_05734
MED134_06054	MED134_06904	MED134_11926	MED134_05804
MED134_06094	MED134_06994	MED134_11931	MED134_06169
MED134_06099	MED134_07064	MED134_11936	MED134_06269
MED134_06239	MED134_07169	MED134_11941	MED134_06339
MED134_06349	MED134_07199	MED134_11946	MED134_06549
MED134_06379	MED134_07224	MED134_12616	MED134_06564
MED134_06674	MED134_07339	MED134_12946	MED134_06644
MED134_06679	MED134_07421	MED134_13416	MED134_06884
MED134_06834	MED134_07616	MED134_13726	MED134_07109
MED134_06839	MED134_07626	MED134_13981	MED134_07456
MED134_07034	MED134_07631	MED134_16069	MED134_07496
MED134_07059	MED134_07716		MED134_07501
MED134_07189	MED134_07816		MED134_07666
MED134_07239	MED134_08156		MED134_07876
MED134_07379	MED134_08721		MED134_07881
MED134_07576	MED134_09056		MED134_08036
MED134_07646	MED134_09286		MED134_08711
MED134_07726	MED134_09441		MED134_08961
MED134_07731	MED134_09761		MED134_08976
MED134_07786	MED134_09826		MED134_09091
MED134_07841	MED134_09841		MED134_09096
MED134_08411	MED134_10101		MED134_09256
MED134_08426	MED134_10635		MED134_09461
MED134_08431	MED134_10975		MED134_09886
MED134_08546	MED134_11441		MED134_09931
MED134_08631	MED134_11516		MED134_10021
MED134_08646	MED134_11736		MED134_10381
MED134_08791	MED134_11826		MED134_10610
MED134_08796	MED134_11831		MED134_10725
MED134_08816	MED134_11871		MED134_10835
MED134_09121	MED134_11976		MED134_10900
MED134_09351	MED134_12536		MED134_11105
MED134_09386	MED134_12646		MED134_11175
MED134_09401	MED134_12756		MED134_11250
MED134_09476	MED134_12786		MED134_11301
MED134_09496	MED134_13051		MED134_11601
MED134_09526	MED134_13161		MED134_12311
MED134_09646	MED134_13381		MED134_12366
MED134_09901	MED134_13486		MED134_12396
MED134_09971	MED134_13491		MED134_12421
MED134_10341	MED134_13696		MED134_12911
MED134_11000	MED134_13871		MED134_12921
MED134_11366	MED134_14016		MED134_12976
MED134_12251	MED134_14106		MED134_13046
MED134_12586	MED134_14461		MED134_13411
MED134_12706	MED134_14687		MED134_13421
MED134_12991	MED134_14757		MED134_13456
MED134_13041	MED134_15163		MED134_13971
MED134_13211	MED134_15306		MED134_14076
MED134_13276	MED134_15422		MED134_14441
MED134_13286			MED134_14446
MED134_13376			MED134_14497
MED134_13471			MED134_14607
MED134_13566			MED134_14637
MED134_13576			MED134_14692
MED134_13606			MED134_14792
MED134_13611			MED134_16148
MED134_13656			MED134_16483
MED134_13666			
MED134_13681			
MED134_13856			
MED134_13946			
MED134_14146			
MED134_14161			
MED134_14572			
MED134_14602			
MED134_14707			
MED134_14712			
MED134_14742			
MED134_15348			
MED134_16471			
MED134_16627			
