Starting data and time	Monday 07 June 2021 (22:03:50)
Ending date and time	Monday 07 June 2021 (22:03:59)
Time consumed	0 hours, 0 minutes, and 8 seconds
Number of datasets	1
Total number of input genes	1930
Genes included in the analysis	430
Genes filtered out from the analysis	1500
Number of clusters	3
Total number of genes in clusters	154
Genes not included in any cluster	276
Min cluster size	11
Max cluster size	89
Average cluster size	51.333333333333336
Number of samples (including replicates)	27
Number of conditions	8
