C0 (580 genes)	C1 (106 genes)	C2 (169 genes)	C3 (79 genes)	C4 (38 genes)	C5 (36 genes)	C6 (17 genes)	C7 (50 genes)	C8 (76 genes)	C9 (29 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
MED134_00025	MED134_00885	MED134_00085	MED134_00520	MED134_00375	MED134_00050	MED134_00635	MED134_00080	MED134_00160	MED134_01110
MED134_00030	MED134_01290	MED134_00090	MED134_00755	MED134_00525	MED134_00155	MED134_01385	MED134_00715	MED134_00190	MED134_01120
MED134_00035	MED134_01320	MED134_00165	MED134_00760	MED134_00815	MED134_00535	MED134_06254	MED134_00795	MED134_00220	MED134_01785
MED134_00040	MED134_01410	MED134_00610	MED134_00820	MED134_00995	MED134_01075	MED134_06274	MED134_02020	MED134_00355	MED134_02620
MED134_00045	MED134_01450	MED134_00630	MED134_00830	MED134_01000	MED134_01695	MED134_06634	MED134_02470	MED134_00440	MED134_02745
MED134_00055	MED134_01570	MED134_00775	MED134_00845	MED134_01145	MED134_02390	MED134_07436	MED134_02780	MED134_00940	MED134_02755
MED134_00060	MED134_02080	MED134_00825	MED134_00910	MED134_01280	MED134_02415	MED134_07441	MED134_03055	MED134_01015	MED134_02925
MED134_00105	MED134_02090	MED134_00850	MED134_01005	MED134_01515	MED134_02605	MED134_07536	MED134_03095	MED134_01020	MED134_03219
MED134_00115	MED134_02115	MED134_00880	MED134_01150	MED134_01650	MED134_04524	MED134_07661	MED134_03299	MED134_01100	MED134_03269
MED134_00170	MED134_02375	MED134_01340	MED134_01180	MED134_02365	MED134_05114	MED134_08921	MED134_03349	MED134_01125	MED134_03319
MED134_00215	MED134_02830	MED134_01465	MED134_01185	MED134_02400	MED134_05444	MED134_10545	MED134_03744	MED134_01615	MED134_03529
MED134_00290	MED134_03075	MED134_01815	MED134_01685	MED134_02425	MED134_07586	MED134_10855	MED134_03859	MED134_01775	MED134_05174
MED134_00360	MED134_03409	MED134_01880	MED134_01875	MED134_02445	MED134_08076	MED134_11351	MED134_03864	MED134_02535	MED134_05424
MED134_00365	MED134_03459	MED134_02150	MED134_01895	MED134_02450	MED134_08366	MED134_11356	MED134_04389	MED134_02630	MED134_06924
MED134_00410	MED134_03814	MED134_02225	MED134_02095	MED134_03159	MED134_08386	MED134_11836	MED134_04744	MED134_02650	MED134_06934
MED134_00425	MED134_03909	MED134_02295	MED134_02105	MED134_04059	MED134_08401	MED134_14341	MED134_05169	MED134_02675	MED134_06939
MED134_00445	MED134_04289	MED134_02360	MED134_02170	MED134_04179	MED134_08491	MED134_14411	MED134_05419	MED134_02685	MED134_06994
MED134_00465	MED134_04384	MED134_02785	MED134_02290	MED134_04829	MED134_08926		MED134_05429	MED134_02720	MED134_08511
MED134_00470	MED134_04579	MED134_02820	MED134_02430	MED134_04874	MED134_08971		MED134_05699	MED134_02880	MED134_08521
MED134_00475	MED134_04604	MED134_03035	MED134_02435	MED134_07561	MED134_10321		MED134_05989	MED134_03394	MED134_08631
MED134_00510	MED134_04629	MED134_03080	MED134_02905	MED134_07756	MED134_10376		MED134_06124	MED134_03569	MED134_08651
MED134_00515	MED134_04684	MED134_03090	MED134_03469	MED134_08396	MED134_10540		MED134_06724	MED134_03579	MED134_08656
MED134_00555	MED134_04704	MED134_03329	MED134_03509	MED134_09926	MED134_11291		MED134_06729	MED134_03664	MED134_09761
MED134_00560	MED134_04784	MED134_03379	MED134_03599	MED134_10615	MED134_12016		MED134_06799	MED134_03774	MED134_09891
MED134_00570	MED134_04794	MED134_03514	MED134_03639	MED134_10880	MED134_12191		MED134_06874	MED134_03804	MED134_10161
MED134_00660	MED134_04964	MED134_03549	MED134_04529	MED134_11696	MED134_12396		MED134_07244	MED134_03829	MED134_10346
MED134_00700	MED134_05064	MED134_03564	MED134_04709	MED134_11711	MED134_12401		MED134_07304	MED134_03834	MED134_10990
MED134_00725	MED134_05119	MED134_03629	MED134_04804	MED134_11751	MED134_12411		MED134_07501	MED134_03969	MED134_12846
MED134_00730	MED134_05124	MED134_03694	MED134_04994	MED134_12456	MED134_12416		MED134_07551	MED134_04779	MED134_12851
MED134_00875	MED134_05284	MED134_03924	MED134_05514	MED134_12461	MED134_13011		MED134_08336	MED134_05694	
MED134_00945	MED134_05359	MED134_03949	MED134_06269	MED134_12486	MED134_14056		MED134_08466	MED134_05894	
MED134_00950	MED134_05454	MED134_04029	MED134_06604	MED134_12491	MED134_14061		MED134_09626	MED134_05909	
MED134_00965	MED134_05494	MED134_04054	MED134_06884	MED134_12516	MED134_14181		MED134_10366	MED134_06174	
MED134_01040	MED134_05519	MED134_04069	MED134_07154	MED134_12526	MED134_14331		MED134_10381	MED134_06369	
MED134_01045	MED134_05524	MED134_04109	MED134_07354	MED134_13536	MED134_14401		MED134_10446	MED134_06374	
MED134_01080	MED134_05539	MED134_04174	MED134_07456	MED134_13641	MED134_14802		MED134_10750	MED134_06524	
MED134_01090	MED134_05674	MED134_04189	MED134_07516	MED134_14156			MED134_10830	MED134_06864	
MED134_01095	MED134_05689	MED134_04229	MED134_08061	MED134_14366			MED134_10860	MED134_06904	
MED134_01175	MED134_06049	MED134_04259	MED134_08066				MED134_11250	MED134_06944	
MED134_01190	MED134_06169	MED134_04399	MED134_08081				MED134_11426	MED134_06949	
MED134_01240	MED134_06594	MED134_04459	MED134_08361				MED134_11561	MED134_07069	
MED134_01310	MED134_06644	MED134_04539	MED134_08376				MED134_11616	MED134_07199	
MED134_01350	MED134_06669	MED134_04554	MED134_08391				MED134_12996	MED134_07224	
MED134_01370	MED134_06679	MED134_04609	MED134_08476				MED134_13411	MED134_07631	
MED134_01375	MED134_06794	MED134_04649	MED134_08751				MED134_13421	MED134_07636	
MED134_01405	MED134_06819	MED134_04714	MED134_08756				MED134_13456	MED134_08091	
MED134_01415	MED134_06829	MED134_04849	MED134_09021				MED134_13761	MED134_08216	
MED134_01460	MED134_07109	MED134_04859	MED134_09091				MED134_13981	MED134_08506	
MED134_01480	MED134_07214	MED134_05039	MED134_09876				MED134_14346	MED134_08606	
MED134_01520	MED134_07486	MED134_05049	MED134_10036				MED134_14692	MED134_08851	
MED134_01525	MED134_07621	MED134_05069	MED134_10136					MED134_09056	
MED134_01585	MED134_07651	MED134_05184	MED134_10256					MED134_09306	
MED134_01590	MED134_08146	MED134_05374	MED134_10411					MED134_10705	
MED134_01660	MED134_08196	MED134_05384	MED134_10416					MED134_10710	
MED134_01665	MED134_08711	MED134_05399	MED134_10825					MED134_10870	
MED134_01835	MED134_08721	MED134_05404	MED134_11286					MED134_11536	
MED134_01840	MED134_08946	MED134_05619	MED134_11451					MED134_11871	
MED134_01845	MED134_08966	MED134_05784	MED134_11576					MED134_11876	
MED134_01855	MED134_09151	MED134_05919	MED134_11581					MED134_12161	
MED134_01920	MED134_09281	MED134_05929	MED134_11586					MED134_12646	
MED134_01945	MED134_09491	MED134_05999	MED134_11636					MED134_12761	
MED134_02030	MED134_09806	MED134_06099	MED134_11666					MED134_13151	
MED134_02045	MED134_09866	MED134_06114	MED134_11706					MED134_13301	
MED134_02065	MED134_09956	MED134_06339	MED134_11716					MED134_13901	
MED134_02120	MED134_10026	MED134_06419	MED134_12021					MED134_14286	
MED134_02145	MED134_10226	MED134_06569	MED134_12531					MED134_14301	
MED134_02175	MED134_10965	MED134_06614	MED134_12596					MED134_14416	
MED134_02185	MED134_11035	MED134_06619	MED134_12601					MED134_14502	
MED134_02190	MED134_11040	MED134_06649	MED134_12631					MED134_14582	
MED134_02195	MED134_11045	MED134_06654	MED134_12886					MED134_14727	
MED134_02215	MED134_11070	MED134_06659	MED134_12931					MED134_14757	
MED134_02235	MED134_11155	MED134_06879	MED134_12936					MED134_14797	
MED134_02240	MED134_11281	MED134_07149	MED134_13711					MED134_15422	
MED134_02270	MED134_11401	MED134_07451	MED134_13821					MED134_16706	
MED134_02275	MED134_11546	MED134_07591	MED134_13826					MED134_16708	
MED134_02310	MED134_11646	MED134_07596	MED134_13996					MED134_17141	
MED134_02325	MED134_11736	MED134_07601	MED134_14096						
MED134_02330	MED134_11846	MED134_07711	MED134_15751						
MED134_02340	MED134_11981	MED134_07741	MED134_16360						
MED134_02345	MED134_12096	MED134_07746							
MED134_02350	MED134_12126	MED134_07751							
MED134_02355	MED134_12131	MED134_07881							
MED134_02380	MED134_12256	MED134_07961							
MED134_02480	MED134_12611	MED134_08036							
MED134_02525	MED134_12621	MED134_08176							
MED134_02540	MED134_12641	MED134_08201							
MED134_02545	MED134_12656	MED134_08211							
MED134_02550	MED134_12706	MED134_08561							
MED134_02640	MED134_12721	MED134_08596							
MED134_02660	MED134_12731	MED134_08681							
MED134_02665	MED134_12831	MED134_08936							
MED134_02670	MED134_12911	MED134_08956							
MED134_02680	MED134_12976	MED134_09016							
MED134_02690	MED134_13066	MED134_09026							
MED134_02705	MED134_13211	MED134_09031							
MED134_02805	MED134_13261	MED134_09036							
MED134_02860	MED134_13351	MED134_09251							
MED134_02865	MED134_13736	MED134_09331							
MED134_02875	MED134_14036	MED134_09411							
MED134_02930	MED134_14041	MED134_09421							
MED134_02940	MED134_14081	MED134_09516							
MED134_02955	MED134_14091	MED134_09636							
MED134_02995	MED134_14552	MED134_09656							
MED134_03025	MED134_14587	MED134_09661							
MED134_03040	MED134_14607	MED134_09736							
MED134_03045	MED134_15163	MED134_09856							
MED134_03100		MED134_09961							
MED134_03110		MED134_10131							
MED134_03169		MED134_10176							
MED134_03174		MED134_10261							
MED134_03184		MED134_10266							
MED134_03204		MED134_10286							
MED134_03224		MED134_10336							
MED134_03229		MED134_10351							
MED134_03234		MED134_10431							
MED134_03254		MED134_10490							
MED134_03259		MED134_10495							
MED134_03264		MED134_10535							
MED134_03274		MED134_10550							
MED134_03289		MED134_10580							
MED134_03294		MED134_10660							
MED134_03304		MED134_10900							
MED134_03309		MED134_10920							
MED134_03364		MED134_11020							
MED134_03384		MED134_11025							
MED134_03399		MED134_11210							
MED134_03444		MED134_11311							
MED134_03449		MED134_11456							
MED134_03534		MED134_11481							
MED134_03539		MED134_11601							
MED134_03644		MED134_12076							
MED134_03649		MED134_12106							
MED134_03654		MED134_12276							
MED134_03659		MED134_12281							
MED134_03684		MED134_12306							
MED134_03714		MED134_12351							
MED134_03724		MED134_12406							
MED134_03749		MED134_12536							
MED134_03754		MED134_12541							
MED134_03759		MED134_12751							
MED134_03769		MED134_12896							
MED134_03789		MED134_12901							
MED134_03794		MED134_12926							
MED134_03799		MED134_13226							
MED134_03854		MED134_13231							
MED134_03874		MED134_13256							
MED134_03884		MED134_13406							
MED134_03894		MED134_13426							
MED134_03974		MED134_13431							
MED134_03999		MED134_13511							
MED134_04004		MED134_13521							
MED134_04034		MED134_13526							
MED134_04039		MED134_13961							
MED134_04049		MED134_13966							
MED134_04079		MED134_14066							
MED134_04119		MED134_14076							
MED134_04139		MED134_14191							
MED134_04144		MED134_14241							
MED134_04149		MED134_14246							
MED134_04199		MED134_14361							
MED134_04204		MED134_14421							
MED134_04254		MED134_14426							
MED134_04274		MED134_14456							
MED134_04279		MED134_14471							
MED134_04294		MED134_14667							
MED134_04324		MED134_14767							
MED134_04329		MED134_14782							
MED134_04344		MED134_15850							
MED134_04374		MED134_16129							
MED134_04409									
MED134_04414									
MED134_04419									
MED134_04444									
MED134_04454									
MED134_04494									
MED134_04499									
MED134_04574									
MED134_04634									
MED134_04639									
MED134_04674									
MED134_04699									
MED134_04749									
MED134_04754									
MED134_04759									
MED134_04954									
MED134_04959									
MED134_05019									
MED134_05024									
MED134_05029									
MED134_05059									
MED134_05144									
MED134_05149									
MED134_05154									
MED134_05204									
MED134_05209									
MED134_05229									
MED134_05234									
MED134_05239									
MED134_05244									
MED134_05249									
MED134_05269									
MED134_05274									
MED134_05279									
MED134_05294									
MED134_05319									
MED134_05329									
MED134_05349									
MED134_05369									
MED134_05394									
MED134_05459									
MED134_05484									
MED134_05489									
MED134_05534									
MED134_05559									
MED134_05564									
MED134_05569									
MED134_05574									
MED134_05579									
MED134_05589									
MED134_05604									
MED134_05614									
MED134_05629									
MED134_05634									
MED134_05679									
MED134_05684									
MED134_05744									
MED134_05754									
MED134_05844									
MED134_05849									
MED134_05859									
MED134_05869									
MED134_05874									
MED134_05879									
MED134_05884									
MED134_05889									
MED134_05899									
MED134_05904									
MED134_05934									
MED134_05954									
MED134_05959									
MED134_06034									
MED134_06054									
MED134_06104									
MED134_06134									
MED134_06189									
MED134_06194									
MED134_06289									
MED134_06294									
MED134_06344									
MED134_06359									
MED134_06404									
MED134_06409									
MED134_06414									
MED134_06429									
MED134_06459									
MED134_06464									
MED134_06474									
MED134_06479									
MED134_06494									
MED134_06504									
MED134_06509									
MED134_06589									
MED134_06639									
MED134_06674									
MED134_06684									
MED134_06779									
MED134_06789									
MED134_06809									
MED134_06814									
MED134_06824									
MED134_06834									
MED134_06839									
MED134_06869									
MED134_06909									
MED134_06954									
MED134_06959									
MED134_06969									
MED134_06974									
MED134_06989									
MED134_07019									
MED134_07024									
MED134_07029									
MED134_07034									
MED134_07039									
MED134_07044									
MED134_07049									
MED134_07054									
MED134_07064									
MED134_07074									
MED134_07089									
MED134_07099									
MED134_07129									
MED134_07169									
MED134_07174									
MED134_07179									
MED134_07189									
MED134_07194									
MED134_07219									
MED134_07229									
MED134_07234									
MED134_07239									
MED134_07264									
MED134_07269									
MED134_07279									
MED134_07284									
MED134_07339									
MED134_07379									
MED134_07384									
MED134_07491									
MED134_07511									
MED134_07576									
MED134_07581									
MED134_07611									
MED134_07616									
MED134_07656									
MED134_07706									
MED134_07716									
MED134_07721									
MED134_07726									
MED134_07736									
MED134_07776									
MED134_07786									
MED134_07791									
MED134_07801									
MED134_07831									
MED134_07871									
MED134_07891									
MED134_07931									
MED134_07946									
MED134_07966									
MED134_07986									
MED134_08006									
MED134_08041									
MED134_08046									
MED134_08051									
MED134_08106									
MED134_08111									
MED134_08151									
MED134_08156									
MED134_08161									
MED134_08166									
MED134_08306									
MED134_08411									
MED134_08496									
MED134_08501									
MED134_08536									
MED134_08541									
MED134_08546									
MED134_08576									
MED134_08581									
MED134_08621									
MED134_08626									
MED134_08636									
MED134_08641									
MED134_08646									
MED134_08661									
MED134_08686									
MED134_08726									
MED134_08791									
MED134_08801									
MED134_08806									
MED134_08811									
MED134_08816									
MED134_08821									
MED134_08846									
MED134_08856									
MED134_08861									
MED134_08866									
MED134_08896									
MED134_08911									
MED134_08986									
MED134_09101									
MED134_09111									
MED134_09126									
MED134_09131									
MED134_09156									
MED134_09161									
MED134_09166									
MED134_09171									
MED134_09186									
MED134_09286									
MED134_09296									
MED134_09301									
MED134_09336									
MED134_09341									
MED134_09351									
MED134_09381									
MED134_09431									
MED134_09436									
MED134_09481									
MED134_09486									
MED134_09496									
MED134_09606									
MED134_09621									
MED134_09641									
MED134_09646									
MED134_09746									
MED134_09756									
MED134_09771									
MED134_09816									
MED134_09826									
MED134_09896									
MED134_09921									
MED134_09971									
MED134_09976									
MED134_09991									
MED134_09996									
MED134_10006									
MED134_10046									
MED134_10071									
MED134_10076									
MED134_10081									
MED134_10086									
MED134_10091									
MED134_10096									
MED134_10101									
MED134_10106									
MED134_10216									
MED134_10221									
MED134_10301									
MED134_10306									
MED134_10326									
MED134_10456									
MED134_10620									
MED134_10625									
MED134_10700									
MED134_10715									
MED134_10840									
MED134_10935									
MED134_10960									
MED134_10970									
MED134_10975									
MED134_10980									
MED134_10995									
MED134_11000									
MED134_11125									
MED134_11135									
MED134_11140									
MED134_11165									
MED134_11235									
MED134_11306									
MED134_11341									
MED134_11466									
MED134_11471									
MED134_11541									
MED134_11591									
MED134_11631									
MED134_11771									
MED134_11776									
MED134_11786									
MED134_11801									
MED134_11851									
MED134_11856									
MED134_11861									
MED134_11881									
MED134_11896									
MED134_12036									
MED134_12041									
MED134_12046									
MED134_12056									
MED134_12091									
MED134_12101									
MED134_12116									
MED134_12141									
MED134_12146									
MED134_12151									
MED134_12166									
MED134_12171									
MED134_12206									
MED134_12211									
MED134_12216									
MED134_12221									
MED134_12226									
MED134_12231									
MED134_12236									
MED134_12241									
MED134_12246									
MED134_12251									
MED134_12301									
MED134_12346									
MED134_12556									
MED134_12691									
MED134_12696									
MED134_12701									
MED134_12711									
MED134_12716									
MED134_12736									
MED134_12741									
MED134_12746									
MED134_12766									
MED134_12771									
MED134_12791									
MED134_12796									
MED134_12801									
MED134_12806									
MED134_12811									
MED134_12816									
MED134_12826									
MED134_12856									
MED134_12861									
MED134_12981									
MED134_12991									
MED134_13016									
MED134_13031									
MED134_13036									
MED134_13041									
MED134_13051									
MED134_13056									
MED134_13096									
MED134_13131									
MED134_13136									
MED134_13156									
MED134_13161									
MED134_13166									
MED134_13176									
MED134_13181									
MED134_13286									
MED134_13291									
MED134_13346									
MED134_13356									
MED134_13371									
MED134_13376									
MED134_13391									
MED134_13441									
MED134_13446									
MED134_13501									
MED134_13506									
MED134_13656									
MED134_13661									
MED134_13666									
MED134_13676									
MED134_13686									
MED134_13731									
MED134_13746									
MED134_13781									
MED134_13811									
MED134_13816									
MED134_13856									
MED134_13866									
MED134_13871									
MED134_13906									
MED134_13916									
MED134_13946									
MED134_13956									
MED134_14071									
MED134_14106									
MED134_14121									
MED134_14126									
MED134_14136									
MED134_14141									
MED134_14161									
MED134_14166									
MED134_14176									
MED134_14216									
MED134_14271									
MED134_14311									
MED134_14507									
MED134_14522									
MED134_14542									
MED134_14562									
MED134_14572									
MED134_14597									
MED134_14602									
MED134_14622									
MED134_14627									
MED134_14632									
MED134_14677									
MED134_14682									
MED134_14722									
MED134_14742									
MED134_14747									
MED134_14752									
MED134_15143									
MED134_15304									
MED134_15306									
MED134_15348									
MED134_15821									
MED134_15822									
MED134_15830									
MED134_17467									
